customerId,email,emailHashedSHA256,firstName,lastName,dateOfBirth,phone,country,city,addressLine1,postalCode,customerTier,lifetimeValue,favoriteTeam,registrationDate,lastActivityDate,marketingConsent,emailOptIn,smsOptIn
CRM-00100000,rf1-w16-s35-vip-0-cee93f@f1traffic.com,49f4d2afa9c91cf79e83fcc610666cedb82b5ce03d771bd2b168c84066691f94,Khalid,Sharma,1990-12-04,+1-555-7594851,IN,Mumbai,9710 Racing Lane,64590,vip,12776.03,McLaren,2025-10-02,2026-03-01,true,true,false
CRM-00100001,rf1-w7-s50-standard-1-38d876@f1traffic.com,bef4822b152afe6525e0049d3dc865124ab26c3cda8639f759cac638aa0d02aa,Liu,Davis,1970-11-25,+1-555-7557870,NL,New York,734 Racing Lane,17092,standard,141.98,Aston Martin,2026-01-14,2026-05-16,true,true,false
CRM-00100002,rf1-w1-s10-gold-2-60c856@f1traffic.com,c4f6091dc95c7586371a9976cb84b52c8b659b4be1858b98f2473c4f5ff3fff9,Hiroshi,Patel,2006-05-26,+1-555-1357962,BR,Milan,2641 Racing Lane,62560,gold,2714.06,Alpine,2024-12-23,2026-06-13,true,false,true
CRM-00100003,rf1-w6-s31-standard-3-d16087@f1traffic.com,f3bf4db986f2a6ec4035dc71d8790a671dcb316926fb4d2517847812ac0b5793,Noah,Johnson,1987-04-20,+1-555-4228316,AU,London,2272 Racing Lane,68314,standard,51.03,Ferrari,2025-03-17,2026-05-13,true,true,true
CRM-00100004,rf1-w15-s1-vip-4-f768e9@f1traffic.com,8f6f695d7f2d4897b4bdee26d76e034000a8d7cec620f59390dc19a9c1ab581c,Fernando,Piastri,1987-11-03,+1-555-1090847,FR,Milan,9406 Racing Lane,87069,vip,7152.6,Mercedes,2025-06-09,2026-06-08,true,true,true
CRM-00100005,rf1-w2-s19-gold-5-0bb4ab@f1traffic.com,ab3c7edce5850b01bd15a56651a723ca2bc8c8df22da1c7e82601de7264d3918,Kai,Khan,2002-04-12,+1-555-3215601,CA,New York,7310 Racing Lane,22108,gold,6026.81,Williams,2024-12-28,2026-02-11,true,true,true
CRM-00100006,rf1-w19-s59-vip-6-899f5b@f1traffic.com,39c468f698be8d5e4bba9d479b4ebaf6ad9683e373248d50a38b9e0b1a5b0b46,Pierre,Gasly,1986-02-25,+1-555-2726651,CA,Milan,2287 Racing Lane,48670,vip,19498.24,Mercedes,2024-07-27,2026-01-08,true,false,true
CRM-00100007,rf1-w6-s63-vip-7-7c02ee@f1traffic.com,23ad4dd4beedef604ba9bb5dad99b7d109bb0bba7e8eac862751e0c7469cee76,Liu,Li,1979-01-15,+1-555-7644444,TH,Mumbai,5017 Racing Lane,79098,vip,22051.02,McLaren,2026-04-05,2026-05-08,true,true,false
CRM-00100008,rf1-w8-s12-gold-8-e7cd58@f1traffic.com,6b8aed77bef7886d670ef6d37850b7ff759fd118de53949b941c0e4903c117a6,David,Hamilton,2004-06-15,+1-555-6709655,US,Paris,6060 Racing Lane,36744,gold,7318.61,McLaren,2023-10-20,2026-05-01,true,true,false
CRM-00100009,rf1-w3-s15-vip-9-34a4de@f1traffic.com,4480c6d258d18b3aac233aa7bb49c8ee4ff2799ea8faf18ec7b5c4f80802497b,David,Alonso,1964-06-19,+1-555-9136981,CA,London,2432 Racing Lane,75367,vip,20901.72,Williams,2026-04-20,2026-03-27,true,true,false
