loyaltyId,customerId,email,membershipTier,pointsBalance,pointsLifetimeEarned,membershipStartDate,nextTierThresholdPoints,isActive
LYL-00200000,CRM-00100000,rf1-w16-s35-vip-0-cee93f@f1traffic.com,vip,6388,8943,2025-10-02,999999,true
LYL-00200001,CRM-00100001,rf1-w7-s50-standard-1-38d876@f1traffic.com,standard,71,99,2026-01-14,5000,true
LYL-00200002,CRM-00100002,rf1-w1-s10-gold-2-60c856@f1traffic.com,gold,1357,1900,2024-12-23,50000,true
LYL-00200003,CRM-00100003,rf1-w6-s31-standard-3-d16087@f1traffic.com,standard,26,36,2025-03-17,5000,true
LYL-00200004,CRM-00100004,rf1-w15-s1-vip-4-f768e9@f1traffic.com,vip,3576,5006,2025-06-09,999999,true
LYL-00200005,CRM-00100005,rf1-w2-s19-gold-5-0bb4ab@f1traffic.com,gold,3013,4218,2024-12-28,50000,true
LYL-00200006,CRM-00100006,rf1-w19-s59-vip-6-899f5b@f1traffic.com,vip,9749,13649,2024-07-27,999999,true
LYL-00200007,CRM-00100007,rf1-w6-s63-vip-7-7c02ee@f1traffic.com,vip,11026,15436,2026-04-05,999999,true
LYL-00200008,CRM-00100008,rf1-w8-s12-gold-8-e7cd58@f1traffic.com,gold,3659,5123,2023-10-20,50000,true
LYL-00200009,CRM-00100009,rf1-w3-s15-vip-9-34a4de@f1traffic.com,vip,10451,14631,2026-04-20,999999,true
LYL-00200010,CRM-00100010,rf1-w10-s63-vip-10-22690e@f1traffic.com,vip,11137,15592,2024-08-03,999999,true
LYL-00200011,CRM-00100011,rf1-w2-s67-vip-11-052b3f@f1traffic.com,vip,9382,13135,2024-12-26,999999,true
LYL-00200012,CRM-00100012,rf1-w5-s41-standard-12-e4d916@f1traffic.com,standard,232,325,2026-01-22,5000,true
LYL-00200013,CRM-00100013,rf1-w15-s5-gold-13-bd6938@f1traffic.com,gold,2352,3293,2024-12-14,50000,true
LYL-00200014,CRM-00100014,rf1-w14-s25-vip-14-3b21c0@f1traffic.com,vip,7239,10135,2025-10-07,999999,true
LYL-00200015,CRM-00100015,rf1-w14-s47-standard-15-be8801@f1traffic.com,standard,291,407,2025-05-07,5000,true
LYL-00200016,CRM-00100016,rf1-w14-s58-standard-16-73fdf7@f1traffic.com,standard,257,360,2024-06-23,5000,true
LYL-00200017,CRM-00100017,rf1-w4-s7-silver-17-4c33cf@f1traffic.com,silver,334,468,2024-10-19,15000,true
LYL-00200018,CRM-00100018,rf1-w18-s57-gold-18-def170@f1traffic.com,gold,1378,1929,2025-10-13,50000,true
LYL-00200019,CRM-00100019,rf1-w9-s69-gold-19-25aaf6@f1traffic.com,gold,1620,2268,2024-08-29,50000,true
LYL-00200020,CRM-00100020,rf1-w1-s48-vip-20-0e5946@f1traffic.com,vip,8424,11794,2023-10-28,999999,true
LYL-00200021,CRM-00100021,rf1-w11-s47-silver-21-510a26@f1traffic.com,silver,735,1029,2023-10-13,15000,false
LYL-00200022,CRM-00100022,rf1-w4-s66-silver-22-32115a@f1traffic.com,silver,905,1267,2025-03-06,15000,true
LYL-00200023,CRM-00100023,rf1-w15-s49-gold-23-475cfc@f1traffic.com,gold,3606,5048,2025-04-04,50000,true
LYL-00200024,CRM-00100024,rf1-w14-s70-gold-24-26a904@f1traffic.com,gold,2297,3216,2025-10-28,50000,true
LYL-00200025,CRM-00100025,rf1-w2-s26-standard-25-6e0414@f1traffic.com,standard,235,329,2025-04-01,5000,true
LYL-00200026,CRM-00100026,rf1-w3-s41-standard-26-4c0321@f1traffic.com,standard,221,309,2024-04-21,5000,true
LYL-00200027,CRM-00100027,rf1-w17-s34-silver-27-7f7b09@f1traffic.com,silver,837,1172,2023-10-08,15000,true
LYL-00200028,CRM-00100028,rf1-w9-s30-gold-28-48f50b@f1traffic.com,gold,2008,2811,2023-12-19,50000,true
LYL-00200029,CRM-00100029,rf1-w2-s26-gold-29-cee7a2@f1traffic.com,gold,3412,4777,2024-11-01,50000,true
LYL-00200030,CRM-00100030,rf1-w5-s46-vip-30-4d913e@f1traffic.com,vip,5888,8243,2025-03-26,999999,true
