eventType,timestamp,orderId,orderLineNumber,customerId,loyaltyId,email,channel,productId,productName,productCategory,productBrand,quantity,unitPrice,lineTotal,currency,paymentMethod,salesAssociate,promoCode,purchasesValue,orderPriceTotal
commerce.purchases,2025-04-26T16:53:38.204Z,OFF-00800000,1,CRM-00100000,LYL-00200000,rf1-w16-s35-vip-0-cee93f@f1traffic.com,store-newyork,TICKET-SILV-GA,Silverstone GA,Tickets,F1,2,299,598,USD,google_pay,SA-117,,1,682
commerce.purchases,2025-04-26T16:53:38.204Z,OFF-00800000,2,CRM-00100000,LYL-00200000,rf1-w16-s35-vip-0-cee93f@f1traffic.com,store-newyork,MER-CAP-LH44,Hamilton Cap,Accessories,Mercedes,2,42,84,USD,google_pay,SA-117,,0,
commerce.purchases,2026-01-25T06:08:56.827Z,OFF-00800001,1,CRM-00100000,LYL-00200000,rf1-w16-s35-vip-0-cee93f@f1traffic.com,store-london,MCL-JKT-2024,Papaya Team Jacket,Apparel,McLaren,2,169.99,339.98,USD,credit_card,SA-203,,1,339.98
commerce.purchases,2025-12-05T11:44:14.382Z,OFF-00800002,1,CRM-00100000,LYL-00200000,rf1-w16-s35-vip-0-cee93f@f1traffic.com,phone,TICKET-SILV-GA,Silverstone GA,Tickets,F1,1,299,299,USD,cash,SA-203,,1,299
commerce.purchases,2025-09-01T01:19:23.029Z,OFF-00800003,1,CRM-00100000,LYL-00200000,rf1-w16-s35-vip-0-cee93f@f1traffic.com,store-mumbai,MCL-MOD-38,MCL38 1:18 Scale Model,Collectibles,McLaren,2,249.99,499.98,USD,google_pay,SA-117,RACE2024,1,499.98
commerce.purchases,2025-06-02T09:32:53.520Z,OFF-00800004,1,CRM-00100000,LYL-00200000,rf1-w16-s35-vip-0-cee93f@f1traffic.com,store-newyork,TICKET-MONACO-GS,Monaco GP Grandstand,Tickets,F1,2,1299,2598,USD,credit_card,online,,1,2598
commerce.purchases,2026-05-07T19:09:57.827Z,OFF-00800005,1,CRM-00100000,LYL-00200000,rf1-w16-s35-vip-0-cee93f@f1traffic.com,store-newyork,MCL-JKT-2024,Papaya Team Jacket,Apparel,McLaren,1,169.99,169.99,USD,loyalty_points,SA-117,,1,6966.99
commerce.purchases,2026-05-07T19:09:57.827Z,OFF-00800005,2,CRM-00100000,LYL-00200000,rf1-w16-s35-vip-0-cee93f@f1traffic.com,store-newyork,EXP-DRIVER-MG,Driver Meet & Greet,Experiences,F1,2,899,1798,USD,loyalty_points,SA-117,,0,
commerce.purchases,2026-05-07T19:09:57.827Z,OFF-00800005,3,CRM-00100000,LYL-00200000,rf1-w16-s35-vip-0-cee93f@f1traffic.com,store-newyork,PKG-PADDOCK-CLUB,Paddock Club VIP Package,Hospitality,F1,1,4999,4999,USD,loyalty_points,SA-117,,0,
commerce.purchases,2025-01-29T22:43:21.771Z,OFF-00800006,1,CRM-00100000,LYL-00200000,rf1-w16-s35-vip-0-cee93f@f1traffic.com,store-london,RB-CAP-MV1,Verstappen Cap,Accessories,Red Bull,2,39.99,79.98,USD,apple_pay,SA-042,,1,79.98
commerce.purchases,2025-03-22T00:10:02.773Z,OFF-00800007,1,CRM-00100000,LYL-00200000,rf1-w16-s35-vip-0-cee93f@f1traffic.com,popup-monaco,RB-JKT-2024,2024 Team Jacket,Apparel,Red Bull,1,159.99,159.99,USD,google_pay,SA-001,,1,1157.99
