eventType,timestamp,emailId,customerId,email,campaignName,campaignType,sendsValue,opensValue,clicksValue,converted,conversionValue,unsubscribed,deviceType,emailClient
directMarketing.emailSent,2026-05-01T10:03:02.093Z,EML-0000000001,CRM-00100000,rf1-w16-s35-vip-0-cee93f@f1traffic.com,Birthday Discount,birthday,1,0,0,false,0,false,desktop,Yahoo
directMarketing.emailSent,2026-01-01T15:04:33.269Z,EML-0000000002,CRM-00100000,rf1-w16-s35-vip-0-cee93f@f1traffic.com,Birthday Discount,birthday,1,1,1,false,0,false,tablet,Yahoo
directMarketing.emailSent,2026-02-25T23:32:51.375Z,EML-0000000003,CRM-00100000,rf1-w16-s35-vip-0-cee93f@f1traffic.com,Black Friday 2024,promo,1,1,1,true,132.82,false,tablet,Outlook
directMarketing.emailSent,2026-01-10T21:31:29.077Z,EML-0000000004,CRM-00100000,rf1-w16-s35-vip-0-cee93f@f1traffic.com,Birthday Discount,birthday,1,0,0,false,0,false,mobile,Yahoo
directMarketing.emailSent,2026-04-15T03:58:10.556Z,EML-0000000005,CRM-00100000,rf1-w16-s35-vip-0-cee93f@f1traffic.com,Race Calendar Reminder,newsletter,1,1,1,true,326.59,false,tablet,Gmail
directMarketing.emailSent,2026-05-04T18:23:25.039Z,EML-0000000006,CRM-00100000,rf1-w16-s35-vip-0-cee93f@f1traffic.com,VIP Hospitality Invite,vip,1,0,0,false,0,false,desktop,Outlook
directMarketing.emailSent,2026-05-24T10:07:15.594Z,EML-0000000007,CRM-00100000,rf1-w16-s35-vip-0-cee93f@f1traffic.com,Monaco GP Promo,promo,1,0,0,false,0,true,tablet,Yahoo
directMarketing.emailSent,2026-03-30T12:05:43.646Z,EML-0000000008,CRM-00100000,rf1-w16-s35-vip-0-cee93f@f1traffic.com,Race Calendar Reminder,newsletter,1,0,0,false,0,false,tablet,Outlook
directMarketing.emailSent,2026-03-14T00:58:30.171Z,EML-0000000009,CRM-00100000,rf1-w16-s35-vip-0-cee93f@f1traffic.com,Welcome Series 1,welcome,1,0,0,false,0,false,desktop,Other
directMarketing.emailSent,2026-04-25T06:26:32.441Z,EML-0000000010,CRM-00100000,rf1-w16-s35-vip-0-cee93f@f1traffic.com,Monaco GP Promo,promo,1,1,0,false,0,false,tablet,Outlook
directMarketing.emailSent,2026-04-11T16:45:30.859Z,EML-0000000011,CRM-00100000,rf1-w16-s35-vip-0-cee93f@f1traffic.com,Black Friday 2024,promo,1,1,1,true,179.86,false,mobile,Apple Mail
directMarketing.emailSent,2026-02-28T09:52:23.386Z,EML-0000000012,CRM-00100000,rf1-w16-s35-vip-0-cee93f@f1traffic.com,2024 Season Launch,newsletter,1,1,1,true,253.32,false,desktop,Gmail
directMarketing.emailSent,2026-03-18T05:06:53.996Z,EML-0000000013,CRM-00100000,rf1-w16-s35-vip-0-cee93f@f1traffic.com,Monaco GP Promo,promo,1,1,0,false,0,false,desktop,Apple Mail
directMarketing.emailSent,2026-03-07T17:40:38.949Z,EML-0000000014,CRM-00100000,rf1-w16-s35-vip-0-cee93f@f1traffic.com,Abandoned Cart Recovery,cart_abandonment,1,1,0,false,0,false,mobile,Gmail
directMarketing.emailSent,2025-12-19T13:48:08.954Z,EML-0000000015,CRM-00100001,rf1-w7-s50-standard-1-38d876@f1traffic.com,VIP Hospitality Invite,vip,1,0,0,false,0,false,tablet,Yahoo
directMarketing.emailSent,2026-05-27T15:31:32.653Z,EML-0000000016,CRM-00100001,rf1-w7-s50-standard-1-38d876@f1traffic.com,Race Calendar Reminder,newsletter,1,1,0,false,0,false,mobile,Yahoo
directMarketing.emailSent,2026-06-06T18:16:24.012Z,EML-0000000017,CRM-00100001,rf1-w7-s50-standard-1-38d876@f1traffic.com,Black Friday 2024,promo,1,0,0,false,0,false,desktop,Yahoo
directMarketing.emailSent,2026-04-18T22:30:57.826Z,EML-0000000018,CRM-00100001,rf1-w7-s50-standard-1-38d876@f1traffic.com,Win-back Campaign,reengagement,1,1,0,false,0,false,mobile,Outlook
directMarketing.emailSent,2026-03-30T16:46:48.677Z,EML-0000000019,CRM-00100001,rf1-w7-s50-standard-1-38d876@f1traffic.com,Loyalty Tier Upgrade,loyalty,1,1,1,false,0,false,mobile,Apple Mail
directMarketing.emailSent,2026-03-06T09:27:56.472Z,EML-0000000020,CRM-00100001,rf1-w7-s50-standard-1-38d876@f1traffic.com,2024 Season Launch,newsletter,1,0,0,false,0,false,mobile,Outlook
directMarketing.emailSent,2026-03-07T17:33:44.829Z,EML-0000000021,CRM-00100001,rf1-w7-s50-standard-1-38d876@f1traffic.com,Win-back Campaign,reengagement,1,0,0,false,0,false,desktop,Other
directMarketing.emailSent,2026-01-25T14:30:36.245Z,EML-0000000022,CRM-00100001,rf1-w7-s50-standard-1-38d876@f1traffic.com,Win-back Campaign,reengagement,1,1,0,false,0,false,desktop,Apple Mail
directMarketing.emailSent,2026-02-16T15:14:40.353Z,EML-0000000023,CRM-00100001,rf1-w7-s50-standard-1-38d876@f1traffic.com,Welcome Series 1,welcome,1,1,0,false,0,false,mobile,Gmail
directMarketing.emailSent,2026-03-19T14:00:49.777Z,EML-0000000024,CRM-00100001,rf1-w7-s50-standard-1-38d876@f1traffic.com,Abandoned Cart Recovery,cart_abandonment,1,0,0,false,0,false,desktop,Other
directMarketing.emailSent,2026-01-09T05:30:30.472Z,EML-0000000025,CRM-00100001,rf1-w7-s50-standard-1-38d876@f1traffic.com,2024 Season Launch,newsletter,1,1,0,false,0,false,desktop,Gmail
directMarketing.emailSent,2026-04-14T05:24:09.309Z,EML-0000000026,CRM-00100001,rf1-w7-s50-standard-1-38d876@f1traffic.com,Welcome Series 1,welcome,1,1,1,true,129.49,false,tablet,Outlook
directMarketing.emailSent,2025-12-31T17:57:46.460Z,EML-0000000027,CRM-00100001,rf1-w7-s50-standard-1-38d876@f1traffic.com,Race Calendar Reminder,newsletter,1,0,0,false,0,false,mobile,Outlook
directMarketing.emailSent,2026-04-27T16:54:49.379Z,EML-0000000028,CRM-00100001,rf1-w7-s50-standard-1-38d876@f1traffic.com,Abandoned Cart Recovery,cart_abandonment,1,0,0,false,0,false,mobile,Yahoo
directMarketing.emailSent,2026-06-12T02:03:21.241Z,EML-0000000029,CRM-00100001,rf1-w7-s50-standard-1-38d876@f1traffic.com,Win-back Campaign,reengagement,1,0,0,false,0,false,desktop,Other
directMarketing.emailSent,2026-01-23T04:45:19.499Z,EML-0000000030,CRM-00100001,rf1-w7-s50-standard-1-38d876@f1traffic.com,2024 Season Launch,newsletter,1,0,0,false,0,false,mobile,Yahoo
directMarketing.emailSent,2026-03-09T07:53:21.864Z,EML-0000000031,CRM-00100001,rf1-w7-s50-standard-1-38d876@f1traffic.com,Monaco GP Promo,promo,1,1,0,false,0,false,tablet,Gmail
directMarketing.emailSent,2026-05-08T15:09:34.015Z,EML-0000000032,CRM-00100001,rf1-w7-s50-standard-1-38d876@f1traffic.com,Black Friday 2024,promo,1,0,0,false,0,false,mobile,Other
directMarketing.emailSent,2026-04-06T06:19:14.984Z,EML-0000000033,CRM-00100001,rf1-w7-s50-standard-1-38d876@f1traffic.com,Monaco GP Promo,promo,1,1,1,false,0,true,mobile,Apple Mail
directMarketing.emailSent,2026-02-24T11:08:04.708Z,EML-0000000034,CRM-00100001,rf1-w7-s50-standard-1-38d876@f1traffic.com,Win-back Campaign,reengagement,1,0,0,false,0,false,tablet,Apple Mail
directMarketing.emailSent,2026-06-14T02:10:23.101Z,EML-0000000035,CRM-00100001,rf1-w7-s50-standard-1-38d876@f1traffic.com,Abandoned Cart Recovery,cart_abandonment,1,0,0,false,0,false,desktop,Gmail
directMarketing.emailSent,2026-04-23T03:19:41.853Z,EML-0000000036,CRM-00100001,rf1-w7-s50-standard-1-38d876@f1traffic.com,Welcome Series 1,welcome,1,0,0,false,0,false,tablet,Other
directMarketing.emailSent,2026-04-11T20:37:15.394Z,EML-0000000037,CRM-00100001,rf1-w7-s50-standard-1-38d876@f1traffic.com,Abandoned Cart Recovery,cart_abandonment,1,0,0,false,0,false,mobile,Apple Mail
directMarketing.emailSent,2026-05-07T08:08:17.098Z,EML-0000000038,CRM-00100001,rf1-w7-s50-standard-1-38d876@f1traffic.com,Race Calendar Reminder,newsletter,1,0,0,false,0,false,mobile,Gmail
directMarketing.emailSent,2026-06-02T07:05:19.734Z,EML-0000000039,CRM-00100003,rf1-w6-s31-standard-3-d16087@f1traffic.com,Race Calendar Reminder,newsletter,1,1,0,false,0,false,mobile,Apple Mail
directMarketing.emailSent,2026-01-12T15:55:52.018Z,EML-0000000040,CRM-00100003,rf1-w6-s31-standard-3-d16087@f1traffic.com,VIP Hospitality Invite,vip,1,0,0,false,0,false,tablet,Other
directMarketing.emailSent,2026-01-04T11:51:55.525Z,EML-0000000041,CRM-00100003,rf1-w6-s31-standard-3-d16087@f1traffic.com,Black Friday 2024,promo,1,0,0,false,0,false,mobile,Other
directMarketing.emailSent,2026-03-31T03:45:47.870Z,EML-0000000042,CRM-00100003,rf1-w6-s31-standard-3-d16087@f1traffic.com,Race Calendar Reminder,newsletter,1,0,0,false,0,false,mobile,Gmail
