eventType,timestamp,callId,customerId,email,channel,callReason,callCategory,agentId,durationSeconds,resolved,satisfactionRating,escalated,followUpRequired
customerService.interaction,2026-01-28T10:41:01.156Z,CALL-0000000001,CRM-00100004,rf1-w15-s1-vip-4-f768e9@f1traffic.com,whatsapp,Race ticket question,events,AGT-022,401,true,3,false,false
customerService.interaction,2026-04-12T08:38:22.653Z,CALL-0000000002,CRM-00100006,rf1-w19-s59-vip-6-899f5b@f1traffic.com,email,Order status inquiry,orders,AGT-001,698,false,2,false,true
customerService.interaction,2026-01-31T16:20:41.358Z,CALL-0000000003,CRM-00100006,rf1-w19-s59-vip-6-899f5b@f1traffic.com,whatsapp,Refund request,returns,AGT-019,175,true,4,false,false
customerService.interaction,2026-06-01T22:59:27.237Z,CALL-0000000004,CRM-00100006,rf1-w19-s59-vip-6-899f5b@f1traffic.com,whatsapp,Positive feedback,support,AGT-008,748,true,4,false,false
customerService.interaction,2026-04-06T15:12:22.997Z,CALL-0000000005,CRM-00100007,rf1-w6-s63-vip-7-7c02ee@f1traffic.com,email,Product question,support,AGT-027,939,true,5,false,false
customerService.interaction,2026-05-30T05:08:21.098Z,CALL-0000000006,CRM-00100007,rf1-w6-s63-vip-7-7c02ee@f1traffic.com,whatsapp,Product question,support,AGT-002,290,true,4,false,false
customerService.interaction,2025-12-24T13:00:42.298Z,CALL-0000000007,CRM-00100007,rf1-w6-s63-vip-7-7c02ee@f1traffic.com,email,Product question,support,AGT-020,514,true,3,false,false
customerService.interaction,2026-04-24T18:54:12.968Z,CALL-0000000008,CRM-00100008,rf1-w8-s12-gold-8-e7cd58@f1traffic.com,chat,Race ticket question,events,AGT-019,282,true,5,false,false
customerService.interaction,2026-01-01T07:43:16.074Z,CALL-0000000009,CRM-00100008,rf1-w8-s12-gold-8-e7cd58@f1traffic.com,whatsapp,Hospitality booking,events,AGT-011,79,true,3,false,false
customerService.interaction,2026-03-29T13:21:31.653Z,CALL-0000000010,CRM-00100008,rf1-w8-s12-gold-8-e7cd58@f1traffic.com,chat,Return request,returns,AGT-014,267,true,4,false,false
customerService.interaction,2026-03-14T16:34:14.407Z,CALL-0000000011,CRM-00100008,rf1-w8-s12-gold-8-e7cd58@f1traffic.com,whatsapp,Complaint,support,AGT-023,318,false,2,true,true
customerService.interaction,2026-06-10T06:08:17.809Z,CALL-0000000012,CRM-00100009,rf1-w3-s15-vip-9-34a4de@f1traffic.com,phone,Positive feedback,support,AGT-002,659,true,5,false,false
customerService.interaction,2026-04-30T13:13:29.242Z,CALL-0000000013,CRM-00100009,rf1-w3-s15-vip-9-34a4de@f1traffic.com,chat,Return request,returns,AGT-018,310,true,3,false,false
customerService.interaction,2026-04-23T05:12:50.116Z,CALL-0000000014,CRM-00100013,rf1-w15-s5-gold-13-bd6938@f1traffic.com,email,Race ticket question,events,AGT-015,875,true,3,false,false
customerService.interaction,2026-02-03T23:46:48.077Z,CALL-0000000015,CRM-00100013,rf1-w15-s5-gold-13-bd6938@f1traffic.com,phone,Shipping question,orders,AGT-013,175,false,2,false,true
customerService.interaction,2026-01-07T10:09:29.086Z,CALL-0000000016,CRM-00100013,rf1-w15-s5-gold-13-bd6938@f1traffic.com,whatsapp,Complaint,support,AGT-016,675,true,4,false,false
customerService.interaction,2026-03-25T12:44:57.871Z,CALL-0000000017,CRM-00100013,rf1-w15-s5-gold-13-bd6938@f1traffic.com,phone,Return request,returns,AGT-013,177,true,4,false,false
customerService.interaction,2026-05-26T03:35:31.339Z,CALL-0000000018,CRM-00100013,rf1-w15-s5-gold-13-bd6938@f1traffic.com,whatsapp,Shipping question,orders,AGT-008,78,true,3,false,false
customerService.interaction,2026-05-11T15:09:31.077Z,CALL-0000000019,CRM-00100014,rf1-w14-s25-vip-14-3b21c0@f1traffic.com,whatsapp,Order status inquiry,orders,AGT-001,947,true,4,false,false
customerService.interaction,2026-03-30T05:54:05.248Z,CALL-0000000020,CRM-00100015,rf1-w14-s47-standard-15-be8801@f1traffic.com,email,Product question,support,AGT-018,942,true,5,false,false
customerService.interaction,2026-05-02T01:07:24.964Z,CALL-0000000021,CRM-00100015,rf1-w14-s47-standard-15-be8801@f1traffic.com,email,Shipping question,orders,AGT-002,317,true,5,false,false
customerService.interaction,2026-04-29T13:11:18.512Z,CALL-0000000022,CRM-00100015,rf1-w14-s47-standard-15-be8801@f1traffic.com,chat,Positive feedback,support,AGT-005,282,true,3,false,false
customerService.interaction,2026-01-04T23:49:40.899Z,CALL-0000000023,CRM-00100015,rf1-w14-s47-standard-15-be8801@f1traffic.com,chat,Return request,returns,AGT-027,84,true,3,false,false
customerService.interaction,2026-03-12T03:22:47.842Z,CALL-0000000024,CRM-00100015,rf1-w14-s47-standard-15-be8801@f1traffic.com,email,Product question,support,AGT-010,495,true,3,false,false
customerService.interaction,2026-01-27T09:41:46.614Z,CALL-0000000025,CRM-00100016,rf1-w14-s58-standard-16-73fdf7@f1traffic.com,phone,Positive feedback,support,AGT-001,275,true,3,false,false
customerService.interaction,2026-04-29T13:13:26.472Z,CALL-0000000026,CRM-00100016,rf1-w14-s58-standard-16-73fdf7@f1traffic.com,chat,Loyalty inquiry,loyalty,AGT-028,536,true,5,false,false
customerService.interaction,2026-02-24T09:48:27.776Z,CALL-0000000027,CRM-00100016,rf1-w14-s58-standard-16-73fdf7@f1traffic.com,phone,Order status inquiry,orders,AGT-010,439,true,4,false,false
customerService.interaction,2026-03-27T03:23:59.112Z,CALL-0000000028,CRM-00100018,rf1-w18-s57-gold-18-def170@f1traffic.com,chat,Positive feedback,support,AGT-023,369,true,5,false,false
customerService.interaction,2026-01-28T15:34:29.851Z,CALL-0000000029,CRM-00100019,rf1-w9-s69-gold-19-25aaf6@f1traffic.com,email,Product question,support,AGT-024,711,true,3,false,false
customerService.interaction,2026-02-24T11:31:02.497Z,CALL-0000000030,CRM-00100019,rf1-w9-s69-gold-19-25aaf6@f1traffic.com,whatsapp,Return request,returns,AGT-026,603,true,3,false,false
customerService.interaction,2026-02-17T11:39:25.386Z,CALL-0000000031,CRM-00100020,rf1-w1-s48-vip-20-0e5946@f1traffic.com,phone,Product question,support,AGT-021,541,true,5,false,false
customerService.interaction,2026-02-12T11:17:01.011Z,CALL-0000000032,CRM-00100023,rf1-w15-s49-gold-23-475cfc@f1traffic.com,chat,Refund request,returns,AGT-021,636,true,4,false,false
customerService.interaction,2026-02-12T15:49:55.771Z,CALL-0000000033,CRM-00100024,rf1-w14-s70-gold-24-26a904@f1traffic.com,chat,Order status inquiry,orders,AGT-014,424,true,4,false,false
customerService.interaction,2026-01-29T22:33:48.145Z,CALL-0000000034,CRM-00100024,rf1-w14-s70-gold-24-26a904@f1traffic.com,chat,Refund request,returns,AGT-029,139,false,1,false,true
customerService.interaction,2026-01-25T11:00:37.607Z,CALL-0000000035,CRM-00100026,rf1-w3-s41-standard-26-4c0321@f1traffic.com,chat,Product question,support,AGT-007,500,true,3,false,false
customerService.interaction,2026-04-16T11:55:08.178Z,CALL-0000000036,CRM-00100026,rf1-w3-s41-standard-26-4c0321@f1traffic.com,email,Refund request,returns,AGT-004,680,true,3,false,false
customerService.interaction,2026-01-23T05:34:28.319Z,CALL-0000000037,CRM-00100026,rf1-w3-s41-standard-26-4c0321@f1traffic.com,email,Shipping question,orders,AGT-003,572,true,5,false,false
customerService.interaction,2025-12-16T22:51:09.412Z,CALL-0000000038,CRM-00100026,rf1-w3-s41-standard-26-4c0321@f1traffic.com,chat,Race ticket question,events,AGT-005,819,true,3,false,false
customerService.interaction,2026-05-13T13:20:08.115Z,CALL-0000000039,CRM-00100027,rf1-w17-s34-silver-27-7f7b09@f1traffic.com,chat,Shipping question,orders,AGT-027,345,true,5,false,false
customerService.interaction,2026-01-24T22:43:10.202Z,CALL-0000000040,CRM-00100027,rf1-w17-s34-silver-27-7f7b09@f1traffic.com,email,Positive feedback,support,AGT-027,878,true,3,false,false
customerService.interaction,2026-03-25T11:39:57.454Z,CALL-0000000041,CRM-00100027,rf1-w17-s34-silver-27-7f7b09@f1traffic.com,chat,Product question,support,AGT-001,97,false,1,true,true
customerService.interaction,2026-03-15T18:56:51.680Z,CALL-0000000042,CRM-00100029,rf1-w2-s26-gold-29-cee7a2@f1traffic.com,chat,Hospitality booking,events,AGT-012,926,true,3,false,false
customerService.interaction,2026-01-16T09:39:06.922Z,CALL-0000000043,CRM-00100030,rf1-w5-s46-vip-30-4d913e@f1traffic.com,email,Return request,returns,AGT-007,895,true,5,false,false
customerService.interaction,2026-05-23T18:53:28.432Z,CALL-0000000044,CRM-00100030,rf1-w5-s46-vip-30-4d913e@f1traffic.com,chat,Shipping question,orders,AGT-005,378,true,4,false,false
customerService.interaction,2025-12-29T08:01:31.306Z,CALL-0000000045,CRM-00100031,rf1-w14-s56-standard-31-b9eb16@f1traffic.com,phone,Race ticket question,events,AGT-015,440,true,3,false,false
customerService.interaction,2026-06-01T06:13:43.822Z,CALL-0000000046,CRM-00100031,rf1-w14-s56-standard-31-b9eb16@f1traffic.com,chat,Race ticket question,events,AGT-025,953,false,2,false,true
customerService.interaction,2026-04-19T07:37:47.184Z,CALL-0000000047,CRM-00100031,rf1-w14-s56-standard-31-b9eb16@f1traffic.com,chat,Loyalty inquiry,loyalty,AGT-019,404,true,3,false,false
customerService.interaction,2026-05-27T21:43:53.073Z,CALL-0000000048,CRM-00100033,rf1-w0-s73-gold-33-e7eee4@f1traffic.com,phone,Account issue,support,AGT-001,78,true,5,false,false
customerService.interaction,2026-01-19T07:49:03.693Z,CALL-0000000049,CRM-00100033,rf1-w0-s73-gold-33-e7eee4@f1traffic.com,whatsapp,Product question,support,AGT-028,628,true,3,false,false
customerService.interaction,2026-01-02T21:42:11.197Z,CALL-0000000050,CRM-00100033,rf1-w0-s73-gold-33-e7eee4@f1traffic.com,whatsapp,Return request,returns,AGT-001,762,true,5,false,false
customerService.interaction,2026-01-12T09:31:19.068Z,CALL-0000000051,CRM-00100033,rf1-w0-s73-gold-33-e7eee4@f1traffic.com,whatsapp,Promotion question,support,AGT-025,176,true,3,false,false
customerService.interaction,2026-05-13T00:45:56.151Z,CALL-0000000052,CRM-00100034,rf1-w15-s20-silver-34-6a6e9e@f1traffic.com,whatsapp,Race ticket question,events,AGT-014,833,true,4,false,false
customerService.interaction,2026-04-13T14:38:10.635Z,CALL-0000000053,CRM-00100034,rf1-w15-s20-silver-34-6a6e9e@f1traffic.com,phone,Positive feedback,support,AGT-008,305,true,3,false,false
customerService.interaction,2026-01-28T08:05:17.109Z,CALL-0000000054,CRM-00100034,rf1-w15-s20-silver-34-6a6e9e@f1traffic.com,email,Return request,returns,AGT-001,484,true,5,false,false
customerService.interaction,2026-06-05T04:59:09.836Z,CALL-0000000055,CRM-00100034,rf1-w15-s20-silver-34-6a6e9e@f1traffic.com,email,Shipping question,orders,AGT-019,178,true,4,false,false
customerService.interaction,2026-04-26T19:06:33.170Z,CALL-0000000056,CRM-00100035,rf1-w15-s49-standard-35-6d7f02@f1traffic.com,chat,Hospitality booking,events,AGT-005,234,true,5,false,false
customerService.interaction,2026-02-26T14:45:28.827Z,CALL-0000000057,CRM-00100035,rf1-w15-s49-standard-35-6d7f02@f1traffic.com,whatsapp,Race ticket question,events,AGT-028,652,true,3,false,false
customerService.interaction,2026-06-02T09:33:34.023Z,CALL-0000000058,CRM-00100036,rf1-w14-s24-silver-36-9db543@f1traffic.com,phone,Return request,returns,AGT-029,726,false,1,true,true
customerService.interaction,2026-04-09T23:48:14.708Z,CALL-0000000059,CRM-00100036,rf1-w14-s24-silver-36-9db543@f1traffic.com,chat,Loyalty inquiry,loyalty,AGT-020,411,true,3,false,false
customerService.interaction,2026-03-20T12:40:25.994Z,CALL-0000000060,CRM-00100039,rf1-w12-s15-standard-39-32de87@f1traffic.com,email,Loyalty inquiry,loyalty,AGT-027,178,true,5,false,false
customerService.interaction,2025-12-29T00:01:35.432Z,CALL-0000000061,CRM-00100039,rf1-w12-s15-standard-39-32de87@f1traffic.com,phone,Order status inquiry,orders,AGT-005,246,true,5,false,false
customerService.interaction,2026-04-17T22:52:57.566Z,CALL-0000000062,CRM-00100039,rf1-w12-s15-standard-39-32de87@f1traffic.com,whatsapp,Order status inquiry,orders,AGT-001,844,true,4,false,false
customerService.interaction,2025-12-30T16:43:21.493Z,CALL-0000000063,CRM-00100039,rf1-w12-s15-standard-39-32de87@f1traffic.com,email,Race ticket question,events,AGT-029,457,true,3,false,false
customerService.interaction,2026-03-04T23:11:54.765Z,CALL-0000000064,CRM-00100039,rf1-w12-s15-standard-39-32de87@f1traffic.com,phone,Return request,returns,AGT-025,457,true,3,false,false
customerService.interaction,2026-02-19T15:51:18.913Z,CALL-0000000065,CRM-00100040,rf1-w10-s15-standard-40-326b80@f1traffic.com,chat,Product question,support,AGT-025,152,true,5,false,false
customerService.interaction,2026-04-10T14:17:26.860Z,CALL-0000000066,CRM-00100040,rf1-w10-s15-standard-40-326b80@f1traffic.com,email,Complaint,support,AGT-019,655,true,4,false,false
